,winner,loser,weight_class,event
0,Dominick Cruz (c),Urijah Faber,Bantamweight,UFC_132
1,Chris Leben,Wanderlei Silva,Middleweight,UFC_132
2,Dennis Siver,Matt Wiman,Lightweight,UFC_132
3,Tito Ortiz,Ryan Bader,Light Heavyweight,UFC_132
4,Carlos Condit,Dong Hyun Kim,Welterweight,UFC_132
5,Melvin Guillard,Shane Roller,Lightweight,UFC_132
6,Rafael dos Anjos,George Sotiropoulos,Lightweight,UFC_132
7,Brian Bowles,Takeya Mizugaki,Bantamweight,UFC_132
8,Aaron Simpson,Brad Tavares,Middleweight,UFC_132
9,Anthony Njokuani,Andre Winner,Lightweight,UFC_132
10,Jeff Hougland,Donny Walker,Bantamweight,UFC_132
