,winner,loser,weight_class,event
0,Holly Holm,Ronda Rousey (c),Women\'s Bantamweight,UFC_193
1,Joanna J\xc4\x99drzejczyk (c),Val\xc3\xa9rie L\xc3\xa9tourneau,Women\'s Strawweight,UFC_193
2,Mark Hunt,Ant\xc3\xb4nio Silva,Heavyweight,UFC_193
3,Robert Whittaker,Uriah Hall,Middleweight,UFC_193
4,Jared Rosholt,Stefan Struve,Heavyweight,UFC_193
5,Jake Matthews,Akbarh Arreola,Lightweight,UFC_193
6,Kyle Noke,Peter Sobotta,Welterweight,UFC_193
7,Gian Villante,Anthony Perosh,Light Heavyweight,UFC_193
8,Danny Martinez,Richie Vaculik,Flyweight,UFC_193
9,Dan Kelly,Steve Montgomery,Middleweight,UFC_193
10,Richard Walsh,Steve Kennedy,Welterweight,UFC_193
11,James Moontasri,Anton Zafir,Welterweight,UFC_193
12,Ben Nguyen,Ryan Benoit,Flyweight,UFC_193
