,winner,loser,weight_class,event
0,Randy Couture,Mark Coleman,Light Heavyweight,UFC_109
1,Chael Sonnen,Nate Marquardt,Middleweight,UFC_109
2,Paulo Thiago,Mike Swick,Welterweight,UFC_109
3,Demian Maia,Dan Miller,Middleweight,UFC_109
4,Matt Serra,Frank Trigg,Welterweight,UFC_109
5,Mac Danzig,Justin Buchholz,Lightweight,UFC_109
6,Melvin Guillard,Ronys Torres,Lightweight,UFC_109
7,Rob Emerson,Phillipe Nover,Lightweight,UFC_109
8,Phil Davis,Brian Stann,Light Heavyweight,UFC_109
9,Chris Tuchscherer,Tim Hague,Heavyweight,UFC_109
10,Joey Beltran,Rolles Gracie Jr.,Heavyweight,UFC_109
