,winner,loser,weight_class,event
0,Stipe Miocic,Daniel Cormier (c),Heavyweight,UFC_241
1,Nate Diaz,Anthony Pettis,Welterweight,UFC_241
2,Paulo Costa,Yoel Romero,Middleweight,UFC_241
3,Sodiq Yusuff,Gabriel Ben\xc3\xadtez,Featherweight,UFC_241
4,Derek Brunson,Ian Heinisch,Middleweight,UFC_241
5,Khama Worthy,Devonte Smith,Lightweight,UFC_241
6,Cory Sandhagen,Raphael Assun\xc3\xa7\xc3\xa3o,Bantamweight,UFC_241
7,Drakkar Klose,Christos Giagos,Lightweight,UFC_241
8,Casey Kenney,Manny Bermudez,Catchweight (140 lbs),UFC_241
9,Hannah Cifers,Jodie Esquibel,Women\'s Strawweight,UFC_241
10,Kyung Ho Kang,Brandon Davis,Bantamweight,UFC_241
11,Sabina Mazo,Shana Dobson,Women\'s Flyweight,UFC_241
