,winner,loser,event
0,Tony Ferguson,Ramsey Nijem,The_Ultimate_Fighter_Team_Lesnar_vs_Team_dos_Santos_Finale
1,Clay Guida,Anthony Pettis,The_Ultimate_Fighter_Team_Lesnar_vs_Team_dos_Santos_Finale
2,Ed Herman,Tim Credeur,The_Ultimate_Fighter_Team_Lesnar_vs_Team_dos_Santos_Finale
3,Kyle Kingsbury,Fabio Maldonado,The_Ultimate_Fighter_Team_Lesnar_vs_Team_dos_Santos_Finale
4,Chris Cope,Chuck O\'Neil,The_Ultimate_Fighter_Team_Lesnar_vs_Team_dos_Santos_Finale
5,Jeremy Stephens,Danny Downes,The_Ultimate_Fighter_Team_Lesnar_vs_Team_dos_Santos_Finale
6,George Roop,Josh Grispi,The_Ultimate_Fighter_Team_Lesnar_vs_Team_dos_Santos_Finale
7,Shamar Bailey,Ryan McGillivray,The_Ultimate_Fighter_Team_Lesnar_vs_Team_dos_Santos_Finale
8,Clay Harvison,Justin Edwards,The_Ultimate_Fighter_Team_Lesnar_vs_Team_dos_Santos_Finale
9,Scott Jorgensen,Ken Stone,The_Ultimate_Fighter_Team_Lesnar_vs_Team_dos_Santos_Finale
10,Reuben Duran,Francisco Rivera,The_Ultimate_Fighter_Team_Lesnar_vs_Team_dos_Santos_Finale
