,winner,loser,weight_class,event
0,Georges St-Pierre,Matt Hughes,Welterweight,UFC_79
1,Chuck Liddell,Wanderlei Silva,Light Heavyweight,UFC_79
2,Eddie Sanchez,Soa Palelei,Heavyweight,UFC_79
3,Lyoto Machida,Rameau Thierry Sokoudjou,Light Heavyweight,UFC_79
4,Rich Clementi,Melvin Guillard,Lightweight,UFC_79
5,James Irvin,Luiz Cane,Light Heavyweight,UFC_79
6,Manvel Gamburyan,Nate Mohr,Lightweight,UFC_79
7,Dean Lister,Jordan Radev,Middleweight,UFC_79
8,Roan Carneiro,Tony DeSouza,Welterweight,UFC_79
9,Mark Bocek,Doug Evans,Lightweight,UFC_79
