,winner,loser,weight_class,event
0,Jake Ellenberger,Jake Shields,Welterweight,UFC_Fight_Night_Shields_vs_Ellenberger
1,Court McGee,Dongi Yang,Middleweight,UFC_Fight_Night_Shields_vs_Ellenberger
2,Erik Koch,Jonathan Brookins,Featherweight,UFC_Fight_Night_Shields_vs_Ellenberger
3,Alan Belcher,Jason MacDonald,Middleweight,UFC_Fight_Night_Shields_vs_Ellenberger
4,Vagner Rocha,Cody McKenzie,Lightweight,UFC_Fight_Night_Shields_vs_Ellenberger
5,Evan Dunham,Shamar Bailey,Lightweight,UFC_Fight_Night_Shields_vs_Ellenberger
6,Lance Benoist,Matthew Riddle,Welterweight,UFC_Fight_Night_Shields_vs_Ellenberger
7,Ken Stone,Donny Walker,Bantamweight,UFC_Fight_Night_Shields_vs_Ellenberger
8,Seth Baczynski,Clay Harvison,Welterweight,UFC_Fight_Night_Shields_vs_Ellenberger
9,TJ Waldburger,Mike Stumpf,Welterweight,UFC_Fight_Night_Shields_vs_Ellenberger
10,Robbie Peralta,Mike Lullo,Featherweight,UFC_Fight_Night_Shields_vs_Ellenberger
11,Justin Edwards,Jorge Lopez,Welterweight,UFC_Fight_Night_Shields_vs_Ellenberger
