,winner,loser,event
0,Benson Henderson (c),Nate Diaz,UFC_on_Fox_Henderson_vs_Diaz
1,Alexander Gustafsson,Maur\xc3\xadcio Rua,UFC_on_Fox_Henderson_vs_Diaz
2,Rory MacDonald,B.J. Penn,UFC_on_Fox_Henderson_vs_Diaz
3,Matt Brown,Mike Swick,UFC_on_Fox_Henderson_vs_Diaz
4,Yves Edwards,Jeremy Stephens,UFC_on_Fox_Henderson_vs_Diaz
5,Raphael Assun\xc3\xa7\xc3\xa3o,Mike Easton,UFC_on_Fox_Henderson_vs_Diaz
6,Ramsey Nijem,Joe Proctor,UFC_on_Fox_Henderson_vs_Diaz
7,Daron Cruickshank,Henry Martinez,UFC_on_Fox_Henderson_vs_Diaz
8,Abel Trujillo,Marcus LeVesseur,UFC_on_Fox_Henderson_vs_Diaz
9,Dennis Siver,Nam Phan,UFC_on_Fox_Henderson_vs_Diaz
10,Scott Jorgensen,John Albert,UFC_on_Fox_Henderson_vs_Diaz
